,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
288,114,2019-10-30 02:01:41,2.3,5,Ⅰ,36.68,128.61,경북 안동시 북서쪽 16km 지역
289,113,2019-10-27 15:37:26,3.4,11,Ⅳ,35.41,128.49,경남 창녕군 남쪽 15km 지역
290,112,2019-10-20 00:05:10,2.2,10,Ⅰ,33.41,125.13,제주 제주시 서쪽 130km 해역
292,110,2019-10-13 19:52:44,2.0,20,Ⅰ,36.53,129.65,경북 영덕군 동북동쪽 28km 해역
293,109,2019-10-12 20:46:03,2.5,17,Ⅰ,35.18,129.77,울산 동구 남동쪽 48km 해역
294,108,2019-10-04 03:57:23,2.6,9,Ⅲ,35.47,128.86,경남 밀양시 동남동쪽 11km 지역
296,106,2019-09-26 02:57:31,2.3,8,Ⅰ,36.09,129.33,경북 포항시 북구 북북서쪽 6km 지역
297,105,2019-09-22 11:07:27,3.3,17,Ⅱ,34.16,125.16,전남 신안군 흑산도 남남서쪽 62km 해역
299,103,2019-09-19 18:19:05,2.6,6,Ⅰ,33.65,124.99,전남 신안군 흑산도 남남서쪽 120km 해역
300,102,2019-09-11 04:52:07,2.0,9,Ⅰ,38.13,127.09,경기 연천군 북북동쪽 4km 지역
301,101,2019-09-07 23:38:06,2.0,14,Ⅰ,35.48,129.54,울산 동구 동남동쪽 12km 해역
303,99,2019-08-28 14:22:29,2.5,26,Ⅰ,36.24,130.01,경북 영덕군 동남동쪽 61km 해역
304,98,2019-08-23 19:50:48,2.7,7,Ⅲ,37.96,124.69,인천 옹진군 백령도 북동쪽 1km 지역
305,97,2019-08-20 10:34:52,2.8,22,Ⅰ,33.57,124.81,전남 신안군 흑산도 남남서쪽 135km 해역
306,96,2019-08-11 18:19:50,2.1,10,Ⅰ,37.97,124.63,인천 옹진군 백령도 서북서쪽 5km 지역
307,95,2019-08-10 22:45:57,2.3,18,Ⅰ,33.78,126.92,전남 여수시 거문도 남서쪽 45km 해역
309,93,2019-07-30 05:45:15,2.1,6,Ⅱ,35.00,128.30,경남 고성군 북서쪽 4km 지역
310,92,2019-07-25 01:46:09,2.8,13,Ⅰ,37.35,129.84,경북 울진군 북동쪽 56km 해역
311,91,2019-07-22 01:15:45,2.0,13,Ⅰ,35.82,125.56,전북 군산시 어청도 남서쪽 50km 해역
312,90,2019-07-21 11:04:18,3.9,14,Ⅳ,36.50,128.10,경북 상주시 북북서쪽 11km 지역
