,usim,manufacturer,latitude,longitude,address,facility_type,floor,notice,geometry,sigungu
2678,01232971768,엔티모아,34.48,126.938,전남 장흥군 회진면 회진리 763-4,SKT1,[지상] 1/2층,회진파출소,POINT (948393.9583768643 1609707.7752414253),장흥군
2679,01232971719,엔티모아,35.103,128.958,하신번영로253,SKT1,[지상] 1/2층,다대해경파출소 하단출장소,POINT (1132882.878533607 1679622.8242805821),사하구
2680,01232972227,엔티모아,36.622,126.285,충남 태안군 남면 신온리 1-8,SKT2,[지상] 1/1층,마검포출장소,POINT (891358.9287187534 1847813.1287313239),태안군
2681,01232972255,엔티모아,35.084,128.999,부산 사하구 감천동 441-15,SKT1,[지상] 1/2층,감천파출소,POINT (1136651.6306585663 1677570.983707776),사하구
2682,01232973373,엔티모아,34.449,126.822,전남 강진군 마량면 마량리 980-96,SKT1,[지상] 1/2층,마량해양파출소,POINT (937718.9924025082 1606335.4649336757),강진군
2683,01232972458,엔티모아,35.154,129.13,부산 수영구 민락동 113-32,SKT1,[지상] 1/2층,광안리파출소,POINT (1148467.7933038725 1685522.4341169533),0
2684,01232972402,엔티모아,34.804,126.365,전남 목포시 죽교동 620-232,SKT1,[지상] 1/3층,북항파출소,POINT (896180.6274902201 1646079.712638552),0
2685,01232973585,엔티모아,34.92,128.525,성포로 3길 24,SKT1,[지상] 1층/2층층,고현파출소 성포출장소,POINT (1093625.6236010923 1658835.8286266543),거제시
2686,01232973466,엔티모아,34.926,128.079,사천시 팔포3길 56-43,SKT1,[지상] 1/1층,팔포출장소,POINT (1052882.5423574133 1659174.7565429625),사천시
2687,01232971844,엔티모아,37.769,128.954,강원도 강릉시 창해로 14번길 55-37,SKT1,[지상] 1/1층,강릉파출소,POINT (1128060.1748484967 1975365.9115521614),0
2688,01232971825,엔티모아,35.158,129.171,달맞이길62번길42,SKT1,[지상] 1/2층,해운대출장소,POINT (1152195.1621276075 1686028.058185162),0
2689,01232972224,엔티모아,34.613,127.72,남외길 29,SKT2,[지상] 1/1층층,돌산파출소,POINT (1020169.4410722438 1624334.579860555),0
