usim	manufacturer	latitude	longitude	address	facility_type	floor	notice
01231321908 (2170)	엔티모아	37.791	127.907	강원 홍천군 화촌면 구성포리 1207-1	SKT1	[지상] 1/1층	컨테이너형 기지국
01231322786 (2171)	엔티모아	37.642	128.395	강원 평창군 봉평면 덕거리 402-11	SKT2	[지상] 1/1층	컨테이너 안 우측 벽면
01231300264 (2172)	우리넷	37.1	128.149	충북 제천시 봉양읍 삼거리 산 155-7	SKT1	[지상] 1/1층	마곡기지국 벽면
01231322372 (2173)	엔티모아	37.686	127.862	강원 홍천군 북방면 하화계리 206-6	SKT2	[지상] 1/1층	컨테이너 기지국 내부
01231322828 (2174)	엔티모아	37.625	128.367	강원 평창군 봉평면 원길리 산281-3	SKT2	[지상] 1/1층	컨테이너 안 배터리 옆
01231322756 (2175)	엔티모아	37.607	128.346	강원 평창군 봉평면 무이리 산365	SKT1	[지상] 1/1층	컨테이너 안 좌측 벽
01231322788 (2176)	엔티모아	37.495	128.451	강원 평창군 대화면 대화리 909-3	SKT1	[지상] 1/1층	정면앞 콘센트
01231322678 (2178)	엔티모아	37.408	127.978	강원 원주시 소초면 수암리 1104-1	SKT1	[지상] 1/1층	컨테이너 벽면 설치
01231322074 (2179)	엔티모아	37.08	128.602	강원 영월군 김삿갓면 와석리 920-1	SKT1	[지상] 1/1층	컨테이너국소 출입문 우측벽에 설치
01231322785 (2180)	엔티모아	37.273	128.011	강원 원주시 판부면 금대리 501-1	SKT1	[지상] 1/1층	컨테이너벽면설치
01231322597 (2181)	엔티모아	37.135	128.534	강원 영월군 김삿갓면 진별리 623	SKT2	[지상] 1/1층	컨테이너국소 출입문 우측 냉방기1호기 앞 벽면설치
01231322660 (2182)	엔티모아	37.257	128.042	강원 원주시 신림면 금창리 533	SKT1	[지상] 1/1층	컨테이너벽면
01231322716 (2183)	엔티모아	37.418	127.921	강원 원주시 호저면 주산리 684	SKT1	[지상] 1/1층	컨테이너 벽면 설치
01231322587 (2184)	엔티모아	37.228	128.504	강원 영월군 영월읍 삼옥리 892-2	SKT1	[지상] 1/1층	컨테이너 기지국
01231322403 (2185)	엔티모아	37.192	128.447	강원 영월군 영월읍 방절리 357	SKT1	[지상] 1/1층	컨테이너국소 출입문 우측 E3기지국 옆 벽면설치
01231322748 (2186)	엔티모아	37.44	127.889	강원 원주시 호저면 산현리 516-12	SKT1	[지상] 1/1층	컨테이너 벽면 설치
01231322835 (2187)	엔티모아	37.227	128.082	강원 원주시 신림면 신림리 690-46	SKT2	[지상] 1/1층	컨테이너 벽면
01231322638 (2188)	엔티모아	37.192	128.562	강원 영월군 영월읍 연하리 309-8	SKT2	[지상] 1/1층	컨테이너 기지국
01231322573 (2189)	엔티모아	37.191	128.405	강원 영월군 남면 연당리 892	SKT1	[지상] 1/1층	컨테이너국소 출입문 뒷쪽 밧데리 옆 벽면설치
01231322637 (2190)	엔티모아	37.255	128.582	강원 정선군 신동읍 덕천리 산 80	SKT1	[지상] 1/1층	출입문옆 벽면 / 컨테이너 기지국
01231322497 (2191)	엔티모아	37.212	127.75	강원 원주시 부론면 법천리 1503	SKT2	[지상] 1/1층	원주부론면기지국
01231322693 (2192)	엔티모아	37.262	128.192	원주시 신림면 송계리 660	SKT1	[지상] 1/1층	컨테이너 벽면
01231322636 (2193)	엔티모아	37.469	127.946	강원 횡성군 횡성읍 반곡리 산 53	SKT2	[지상] 1/1층	좌측 벽면 하론옆 컨뎨이너국소
01231322596 (2194)	엔티모아	37.204	128.654	강원 정선군 신동읍 예미리 산 203-2	SKT2	[지상] 1/1층	컨테이너기지국 / 출입문 옆 벽면 콘센트 설치
